1 1 Flushed |12 May. 2000| 8.301234567891
1 2 |Size Matters| |19 May. 2000| 8.601234567891
1 3 |Sex  Death & Nudity| |26 May. 2000| 8.801234567891
1 4 Inferno |2 Jun. 2000| 9.201234567891
1 5 |The Girl with Two Breasts| |9 Jun. 2000| 9.101234567891
1 6 |The Cupboard of Patrick's Love| |16 Jun. 2000| 8.701234567891
2 1 |The Man with Two Legs| |3 Sep. 2001| 9.101234567891
2 2 |My Dinner in Hell| |10 Sep. 2001| 8.601234567891
2 3 |Her Best Friend's Bottom| |17 Sep. 2001| 8.601234567891
2 4 |The Melty Man Cometh| |24 Sep. 2001| 8.301234567891
2 5 |Jane and the Truth Snake| |1 Oct. 2001| 8.301234567891
2 6 Gotcha |8 Oct. 2001| 8.401234567891
2 7 Dressed |15 Oct. 2001| 8.601234567891
2 8 Naked |22 Oct. 2001| 9.301234567891
2 9 |The End of the Line| |29 Oct. 2001| 9.201234567891
3 1 Split |23 Sep. 2002| 8.701234567891
3 2 Faithless |30 Sep. 2002| 8.601234567891
3 3 |Unconditional Sex| |7 Oct. 2002| 8.901234567891
3 4 |Remember This| |14 Oct. 2002| 8.801234567891
3 5 |The Freckle  the Key and the Couple Who Weren't| |21 Oct. 2002| 8.501234567891
3 6 |The Girl with One Heart| |28 Oct. 2002| 8.801234567891
3 7 |Perhaps  Perhaps  Perhaps| |4 Nov. 2002| 9.001234567891
4 1 |9½ Minutes| |10 May. 2004| 8.101234567891
4 2 Nightlines |17 May. 2004| 8.101234567891
4 3 |Bed Time| |24 May. 2004| 7.501234567891
4 4 |Circus of the Epidurals| |31 May. 2004| 7.601234567891
4 5 |The Naked Living Room| |7 Jun. 2004| 7.701234567891
4 6 |9½ Months| |14 Jun. 2004| 8.101234567891
