1 1 Dexter |1 Oct. 2006| 8.801234567891
1 2 Crocodile |8 Oct. 2006| 8.301234567891
1 3 |Popping Cherry| |15 Oct. 2006| 8.401234567891
1 4 |Let's Give the Boy a Hand| |22 Oct. 2006| 8.701234567891
1 5 |Love American Style| |29 Oct. 2006| 8.601234567891
1 6 |Return to Sender| |5 Nov. 2006| 9.001234567891
1 7 |Circle of Friends| |12 Nov. 2006| 8.801234567891
1 8 |Shrink Wrap| |19 Nov. 2006| 9.001234567891
1 9 |Father Knows Best| |26 Nov. 2006| 8.701234567891
1 10 |Seeing Red| |3 Dec. 2006| 9.201234567891
1 11 |Truth Be Told| |10 Dec. 2006| 9.301234567891
1 12 |Born Free| |17 Dec. 2006| 9.601234567891
2 1 |It's Alive!| |30 Sep. 2007| 8.801234567891
2 2 |Waiting to Exhale| |7 Oct. 2007| 8.601234567891
2 3 |An Inconvenient Lie| |14 Oct. 2007| 8.701234567891
2 4 See-Through |21 Oct. 2007| 8.501234567891
2 5 |The Dark Defender| |28 Oct. 2007| 8.701234567891
2 6 |Dex  Lies  and Videotape| |4 Nov. 2007| 8.601234567891
2 7 |That Night  a Forest Grew| |11 Nov. 2007| 8.801234567891
2 8 |Morning Comes| |18 Nov. 2007| 9.101234567891
2 9 |Resistance Is Futile| |25 Nov. 2007| 9.401234567891
2 10 |There's Something About Harry| |2 Dec. 2007| 9.001234567891
2 11 |Left Turn Ahead| |9 Dec. 2007| 9.001234567891
2 12 |The British Invasion| |16 Dec. 2007| 9.201234567891
3 1 |Our Father| |28 Sep. 2008| 8.301234567891
3 2 |Finding Freebo| |5 Oct. 2008| 8.501234567891
3 3 |The Lion Sleeps Tonight| |12 Oct. 2008| 8.201234567891
3 4 |All in the Family| |19 Oct. 2008| 8.201234567891
3 5 |Turning Biminese| |26 Oct. 2008| 8.501234567891
3 6 |bad tite encoding| |2 Nov. 2008| 8.301234567891
3 7 |Easy As Pie| |9 Nov. 2008| 8.501234567891
3 8 |The Damage A Man Can Do| |16 Nov. 2008| 8.601234567891
3 9 |About Last Night| |23 Nov. 2008| 8.801234567891
3 10 |Go Your Own Way| |30 Nov. 2008| 9.101234567891
3 11 |I Had A Dream| |7 Dec. 2008| 8.901234567891
3 12 |Do You Take Dexter Morgan?| |14 Dec. 2008| 8.901234567891
