1 1 Pilot |19 May 2009| 8.701234567891
1 2 Showmance |9 Sep. 2009| 8.201234567891
1 3 Acafellas |16 Sep. 2009| 7.901234567891
1 4 Preggers |23 Sep. 2009| 8.601234567891
1 5 |The Rhodes Not Taken| |30 Sep. 2009| 8.101234567891
1 6 |Vitamin D| |7 Oct. 2009| 8.401234567891
1 7 Throwdown |14 Oct. 2009| 8.401234567891
1 8 Mash-Up |21 Oct. 2009| 8.301234567891
1 9 Wheels |11 Nov. 2009| 8.801234567891
1 10 Ballad |18 Nov. 2009| 8.501234567891
1 11 Hairography |25 Nov. 2009| 8.301234567891
1 12 Mattress |2 Dec. 2009| 8.301234567891
1 13 Sectionals |9 Dec. 2009| 9.101234567891
1 14 Hell-O |13 Apr. 2010| 8.301234567891
1 15 |The Power of Madonna| |20 Apr. 2010| 8.901234567891
1 16 Home |27 Apr. 2010| 8.201234567891
1 17 |Bad Reputation| |4 May 2010| 8.301234567891
1 18 Laryngitis |11 May 2010| 8.301234567891
1 19 |Dream On| |18 May 2010| 8.801234567891
1 20 Theatricality |25 May 2010| 8.701234567891
1 21 Funk |1 Jun. 2010| 8.301234567891
1 22 |Journey to Regionals| |8 Jun. 2010| 9.201234567891
2 1 Audition |21 Sep. 2010| 8.101234567891
2 2 Britney/Brittany |28 Sep. 2010| 8.201234567891
2 3 |Grilled Cheesus| |5 Oct. 2010| 8.301234567891
2 4 Duets |12 Oct. 2010| 8.501234567891
2 5 |The Rocky Horror Glee Show| |26 Oct. 2010| 8.101234567891
2 6 |Never Been Kissed| |9 Nov. 2010| 8.901234567891
2 7 |The Substitute| |16 Nov. 2010| 8.701234567891
2 8 Furt |23 Nov. 2010| 8.901234567891
2 9 |Special Education| |30 Nov. 2010| 8.401234567891
2 10 |A Very Glee Christmas| |7 Dec. 2010| 8.501234567891
2 11 |The Sue Sylvester Shuffle| |6 Feb. 2011| 8.801234567891
2 12 |Silly Love Songs| |8 Feb. 2011| 8.501234567891
2 13 Comeback |15 Feb. 2011| 7.901234567891
2 14 |Blame It on the Alcohol| |22 Feb. 2011| 8.801234567891
2 15 Sexy |8 Mar. 2011| 8.401234567891
2 16 |Original Song| |15 Mar. 2011| 9.101234567891
2 17 |A Night of Neglect| |19 Apr. 2011| 7.201234567891
2 18 |Born This Way| |26 Apr. 2011| 8.801234567891
2 19 Rumours |3 May 2011| 8.301234567891
2 20 |Prom Queen| |10 May 2011| 8.801234567891
2 21 Funeral |17 May 2011| 8.801234567891
2 22 |New York| |24 May 2011| 8.501234567891
3 1 |The Purple Piano Project| |20 Sep. 2011| 7.901234567891
3 2 |I Am Unicorn| |27 Sep. 2011| 8.001234567891
3 3 |Asian F| |4 Oct. 2011| 8.301234567891
3 4 |Pot O' Gold| |1 Nov. 2011| 7.901234567891
3 5 |The First Time| |8 Nov. 2011| 8.601234567891
3 6 |Mash Off| |15 Nov. 2011| 8.701234567891
3 7 |I Kissed a Girl| |29 Nov. 2011| 8.401234567891
3 8 |Hold on to Sixteen| |6 Dec. 2011| 8.701234567891
3 9 |Extraordinary Merry Christmas| |13 Dec. 2011| 7.301234567891
3 10 Yes/No |17 Jan. 2012| 8.701234567891
3 11 Michael |31 Jan. 2012| 8.801234567891
3 12 |The Spanish Teacher| |7 Feb. 2012| 7.901234567891
3 13 Heart |14 Feb. 2012| 8.501234567891
3 14 |On My Way| |21 Feb. 2012| 9.001234567891
3 15 |Big Brother| |10 Apr. 2012| 7.801234567891
3 16 |Saturday Night Glee-ver| |17 Apr. 2012| 7.901234567891
3 17 |Dance with Somebody| |24 Apr. 2012| 8.501234567891
3 18 Choke |1 May 2012| 8.501234567891
3 19 Prom-asaurus |8 May 2012| 8.601234567891
3 20 Props |15 May 2012| 8.701234567891
3 21 Nationals |15 May 2012| 9.301234567891
3 22 Goodbye |22 May 2012| 8.901234567891
4 1 |The New Rachel| |13 Sep. 2012| 8.601234567891
4 2 |Britney 2.0| |20 Sep. 2012| 7.801234567891
4 3 Makeover |27 Sep. 2012| 7.701234567891
4 4 |The Break-Up| |4 Oct. 2012| 8.901234567891
4 5 |The Role You Were Born to Play| |8 Nov. 2012| 7.701234567891
4 6 Glease |15 Nov. 2012| 8.001234567891
4 7 |Dynamic Duets| |22 Nov. 2012| 7.301234567891
4 8 Thanksgiving |29 Nov. 2012| 7.501234567891
4 9 |Swan Song| |6 Dec. 2012| 8.501234567891
4 10 |Glee  Actually| |13 Dec. 2012| 7.901234567891
4 11 |Sadie Hawkins| |24 Jan. 2013| 7.101234567891
4 12 Naked |31 Jan. 2013| 7.301234567891
4 13 Diva |7 Feb. 2013| 7.301234567891
4 14 |I Do| |14 Feb. 2013| 8.301234567891
4 15 |Girls (and Boys) on Film| |7 Mar. 2013| 8.101234567891
4 16 Feud |14 Mar. 2013| 8.201234567891
4 17 |Guilty Pleasures| |21 Mar. 2013| 8.101234567891
4 18 |Shooting Star| |11 Apr. 2013| 8.701234567891
4 19 |Sweet Dreams| |18 Apr. 2013| 7.901234567891
4 20 |Lights Out| |25 Apr. 2013| 7.001234567891
4 21 Wonder-ful |2 May 2013| 8.101234567891
4 22 |All or Nothing| |9 May 2013| 7.801234567891
5 1 |Love  Love  Love| |26 Sep. 2013| 8.301234567891
5 2 |Tina in the Sky with Diamonds| |3 Oct. 2013| 7.801234567891
5 3 |The Quarterback| |10 Oct. 2013| 9.601234567891
5 4 |A Katy or a Gaga| |7 Nov. 2013| 7.101234567891
5 5 |The End of Twerk| |14 Nov. 2013| 7.201234567891
5 6 |Movin' Out| |21 Nov. 2013| 7.501234567891
5 7 |Puppet Master| |28 Nov. 2013| 7.201234567891
5 8 |Previously Unaired Christmas| |5 Dec. 2013| 6.801234567891
5 9 Frenemies |25 Feb. 2014| 8.201234567891
5 10 Trio |4 Mar. 2014| 7.901234567891
5 11 |City of Angels| |11 Mar. 2014| 8.601234567891
5 12 100 |18 Mar. 2014| 9.001234567891
5 13 |New Directions| |25 Mar. 2014| 9.001234567891
5 14 |New New York| |1 Apr. 2014| 8.201234567891
5 15 Bash |8 Apr. 2014| 8.201234567891
5 16 Tested |15 Apr. 2014| 7.201234567891
5 17 |Opening Night| |22 Apr. 2014| 8.401234567891
5 18 |The Back-Up Plan| |29 Apr. 2014| 7.101234567891
5 19 |Old Dog  New Tricks| |6 May 2014| 8.001234567891
5 20 |The Untitled Rachel Berry Project| |13 May 2014| 7.501234567891
6 1 |Loser Like Me| |9 Jan. 2015| 8.201234567891
6 2 Homecoming |9 Jan. 2015| 8.401234567891
6 3 |Jagged Little Tapestry| |16 Jan. 2015| 8.301234567891
6 4 |The Hurt Locker: Part 1| |23 Jan. 2015| 7.801234567891
6 5 |The Hurt Locker: Part 2| |30 Jan. 2015| 8.101234567891
6 6 |What the World Needs Now| |6 Feb. 2015| 7.801234567891
6 7 Transitioning |13 Feb. 2015| 8.301234567891
6 8 |A Wedding| |20 Feb. 2015| 8.801234567891
6 9 |Child Star| |27 Feb. 2015| 7.801234567891
6 10 |The Rise and Fall of Sue Sylvester| |6 Mar. 2015| 7.901234567891
6 11 |We Built This Glee Club| |13 Mar. 2015| 8.601234567891
6 12 2009 |20 Mar. 2015| 9.101234567891
6 13 |Dreams Come True| |20 Mar. 2015| 9.101234567891
