1 1 Pilot |9 Jan. 2000| 8.401234567891
1 2 |Red Dress| |16 Jan. 2000| 8.501234567891
1 3 |Home Alone 4| |23 Jan. 2000| 8.001234567891
1 4 Shame |6 Feb. 2000| 7.801234567891
1 5 |Malcolm Babysits| |13 Feb. 2000| 8.101234567891
1 6 Sleepover |20 Feb. 2000| 8.101234567891
1 7 |Francis Escapes| |27 Feb. 2000| 7.601234567891
1 8 |Krelboyne Picnic| |12 Mar. 2000| 8.501234567891
1 9 |Lois vs. Evil| |19 Mar. 2000| 7.901234567891
1 10 |Stock Car Races| |2 Apr. 2000| 7.901234567891
1 11 Funeral |9 Apr. 2000| 8.101234567891
1 12 Cheerleader |16 Apr. 2000| 8.001234567891
1 13 Rollerskates |30 Apr. 2000| 8.601234567891
1 14 |The Bots and the Bees| |7 May 2000| 7.901234567891
1 15 Smunday |14 May 2000| 8.001234567891
1 16 |Water Park| |21 May 2000| 8.701234567891
2 1 |Traffic Jam| |5 Nov. 2000| 8.601234567891
2 2 |Halloween Approximately| |8 Nov. 2000| 8.301234567891
2 3 |Lois's Birthday| |12 Nov. 2000| 8.401234567891
2 4 |Dinner Out| |15 Nov. 2000| 8.001234567891
2 5 Casino |19 Nov. 2000| 8.001234567891
2 6 Convention |22 Nov. 2000| 8.101234567891
2 7 Robbery |26 Nov. 2000| 7.701234567891
2 8 Therapy |29 Nov. 2000| 7.701234567891
2 9 |High School Play| |10 Dec. 2000| 7.701234567891
2 10 |The Bully| |17 Dec. 2000| 8.001234567891
2 11 |Old Mrs. Old| |7 Jan. 2001| 7.601234567891
2 12 |Krelboyne Girl| |14 Jan. 2001| 8.301234567891
2 13 |New Neighbors| |21 Jan. 2001| 8.501234567891
2 14 |Hal Quits| |4 Feb. 2001| 7.801234567891
2 15 |The Grandparents| |11 Feb. 2001| 7.901234567891
2 16 |Traffic Ticket| |18 Feb. 2001| 8.201234567891
2 17 Surgery |25 Feb. 2001| 7.801234567891
2 18 |Reese Cooks| |4 Mar. 2001| 8.101234567891
2 19 |Tutoring Reese| |11 Mar. 2001| 8.101234567891
2 20 Bowling |1 Apr. 2001| 9.301234567891
2 21 |Malcolm vs. Reese| |22 Apr. 2001| 8.201234567891
2 22 Mini-Bike |29 Apr. 2001| 7.701234567891
2 23 Carnival |6 May 2001| 7.801234567891
2 24 Evacuation |13 May 2001| 8.401234567891
2 25 Flashback |20 May 2001| 8.201234567891
3 1 Houseboat |11 Nov. 2001| 7.801234567891
3 2 Emancipation |14 Nov. 2001| 8.001234567891
3 3 |Book Club| |18 Nov. 2001| 7.801234567891
3 4 |Malcolm's Girlfriend| |28 Nov. 2001| 7.701234567891
3 5 Charity |2 Dec. 2001| 8.201234567891
3 6 |Health Scare| |9 Dec. 2001| 7.901234567891
3 7 Christmas |16 Dec. 2001| 8.101234567891
3 8 Poker |6 Jan. 2002| 8.001234567891
3 9 |Reese's Job| |20 Jan. 2002| 7.701234567891
3 10 |Lois' Makeover| |27 Jan. 2002| 7.801234567891
3 11 |Company Picnic: Part 1| |3 Feb. 2002| 8.301234567891
3 12 |Company Picnic: Part 2| |3 Feb. 2002| 8.201234567891
3 13 |Reese Drives| |10 Feb. 2002| 8.301234567891
3 14 |Cynthia's Back| |17 Feb. 2002| 7.801234567891
3 15 |Hal's Birthday| |3 Mar. 2002| 7.801234567891
3 16 |Hal Coaches| |10 Mar. 2002| 7.601234567891
3 17 |Dewey's Dog| |7 Apr. 2002| 8.001234567891
3 18 |Poker #2| |21 Apr. 2002| 7.801234567891
3 19 |Clip Show| |28 Apr. 2002| 6.501234567891
3 20 |Jury Duty| |1 May 2002| 7.601234567891
3 21 Cliques |5 May 2002| 7.801234567891
3 22 Monkey |12 May 2002| 8.201234567891
4 1 Zoo |3 Nov. 2002| 8.001234567891
4 2 Humilithon |10 Nov. 2002| 7.801234567891
4 3 |Family Reunion| |17 Nov. 2002| 8.701234567891
4 4 |Stupid Girl| |24 Nov. 2002| 7.701234567891
4 5 |Forwards Backwards| |1 Dec. 2002| 7.801234567891
4 6 |Forbidden Girlfriend| |15 Dec. 2002| 7.801234567891
4 7 |Malcolm Holds His Tongue| |5 Jan. 2003| 8.301234567891
4 8 |Boys at Ranch| |12 Jan. 2003| 8.201234567891
4 9 |Grandma Sues| |2 Feb. 2003| 7.901234567891
4 10 |If Boys Were Girls| |9 Feb. 2003| 8.601234567891
4 11 |Long Drive| |2 Mar. 2003| 7.801234567891
4 12 |Kicked Out| |9 Mar. 2003| 7.601234567891
4 13 |Stereo Store| |16 Mar. 2003| 8.001234567891
4 14 |Hal's Friend| |30 Mar. 2003| 7.701234567891
4 15 |Garage Sale| |6 Apr. 2003| 7.901234567891
4 16 |Academic Octathalon| |13 Apr. 2003| 7.701234567891
4 17 |Clip Show #2| |20 Apr. 2003| 6.701234567891
4 18 |Reese's Party| |27 Apr. 2003| 7.701234567891
4 19 |Future Malcolm| |4 May 2003| 7.601234567891
4 20 |Baby: Part 1| |11 May 2003| 8.001234567891
4 21 |Baby: Part 2| |18 May 2003| 8.001234567891
4 22 |Day Care| |18 May 2003| 7.601234567891
5 1 Vegas |2 Nov. 2003| 7.701234567891
5 2 |Watching the Baby| |9 Nov. 2003| 7.901234567891
5 3 |Goodbye Kitty| |16 Nov. 2003| 7.901234567891
5 4 Thanksgiving |23 Nov. 2003| 8.201234567891
5 5 |Malcolm Films Reese| |30 Nov. 2003| 7.701234567891
5 6 |Malcolm's Job| |7 Dec. 2003| 7.801234567891
5 7 |Christmas Trees| |14 Dec. 2003| 7.901234567891
5 8 |The Block Party| |4 Jan. 2004| 7.901234567891
5 9 |Dirty Magazine| |11 Jan. 2004| 7.701234567891
5 10 |Hot Tub| |25 Jan. 2004| 7.601234567891
5 11 |Ida's Boyfriend| |8 Feb. 2004| 7.901234567891
5 12 Softball |15 Feb. 2004| 7.401234567891
5 13 |Lois' Sister| |22 Feb. 2004| 7.701234567891
5 14 |Malcolm Dates a Family| |14 Mar. 2004| 8.001234567891
5 15 |Reese's Apartment| |21 Mar. 2004| 7.901234567891
5 16 |Malcolm Visits College| |28 Mar. 2004| 7.701234567891
5 17 |Polly in the Middle| |25 Apr. 2004| 7.601234567891
5 18 Experiment |2 May 2004| 7.801234567891
5 19 |Dewey's Special Class| |2 May 2004| 7.901234567891
5 20 |Victor's Other Family| |9 May 2004| 7.601234567891
5 21 |Reese Joins the Army: Part 1| |16 May 2004| 8.301234567891
5 22 |Reese Joins the Army: Part 2| |23 May 2004| 8.501234567891
6 1 |Reese Comes Home| |7 Nov. 2004| 7.801234567891
6 2 |Buseys Run Away| |14 Nov. 2004| 8.001234567891
6 3 Standee |21 Nov. 2004| 8.001234567891
6 4 |Pearl Harbor| |5 Dec. 2004| 8.101234567891
6 5 |Kitty's Back| |12 Dec. 2004| 7.201234567891
6 6 |Hal's Christmas Gift| |19 Dec. 2004| 8.101234567891
6 7 |Hal Sleepwalks| |16 Jan. 2005| 7.901234567891
6 8 |Lois Battles Jamie| |23 Jan. 2005| 7.701234567891
6 9 |Malcolm's Car| |30 Jan. 2005| 7.701234567891
6 10 Billboard |13 Feb. 2005| 8.201234567891
6 11 |Dewey's Opera| |20 Feb. 2005| 8.301234567891
6 12 |Living Will| |6 Mar. 2005| 7.501234567891
6 13 |Tiki Lounge| |13 Mar. 2005| 7.601234567891
6 14 |Ida Loses a Leg| |20 Mar. 2005| 7.801234567891
6 15 |Chad's Sleepover| |27 Mar. 2005| 7.801234567891
6 16 |No Motorcycles| |3 Apr. 2005| 7.901234567891
6 17 Butterflies |10 Apr. 2005| 7.701234567891
6 18 |Ida's Dance| |17 Apr. 2005| 7.901234567891
6 19 |Motivational Speaker| |24 Apr. 2005| 7.801234567891
6 20 Stilts |1 May 2005| 7.601234567891
6 21 |Buseys Take a Hostage| |8 May 2005| 7.701234567891
6 22 |Mrs. Tri-County| |15 May 2005| 7.701234567891
7 1 |Burning Man| |30 Sep. 2005| 8.501234567891
7 2 |Health Insurance| |7 Oct. 2005| 7.801234567891
7 3 |Reese vs. Stevie| |21 Oct. 2005| 7.701234567891
7 4 Halloween |28 Oct. 2005| 8.001234567891
7 5 |Jessica Stays Over| |4 Nov. 2005| 8.101234567891
7 6 |Secret Boyfriend| |11 Nov. 2005| 7.701234567891
7 7 Blackout |18 Nov. 2005| 8.201234567891
7 8 |Army Buddy| |2 Dec. 2005| 7.701234567891
7 9 |Malcolm Defends Reese| |16 Dec. 2005| 7.801234567891
7 10 |Malcolm's Money| |6 Jan. 2006| 7.601234567891
7 11 |Bride of Ida| |13 Jan. 2006| 7.901234567891
7 12 |College Recruiters| |20 Jan. 2006| 7.601234567891
7 13 Mono |12 Feb. 2006| 7.801234567891
7 14 |Hal Grieves| |19 Feb. 2006| 7.701234567891
7 15 A.A. |5 Mar. 2006| 7.601234567891
7 16 |Lois Strikes Back| |19 Mar. 2006| 8.801234567891
7 17 |Hal's Dentist| |26 Mar. 2006| 7.901234567891
7 18 |Bomb Shelter| |2 Apr. 2006| 8.301234567891
7 19 |Stevie in the Hospital| |9 Apr. 2006| 7.601234567891
7 20 |Cattle Court| |16 Apr. 2006| 7.501234567891
7 21 Morp |23 Apr. 2006| 7.701234567891
7 22 Graduation |14 May 2006| 9.101234567891
