1 1 |The Pilot| |25 Oct. 1996| 8.201234567891
1 2 Gehenna |1 Nov. 1996| 7.501234567891
1 3 |Dead Letters| |8 Nov. 1996| 7.501234567891
1 4 |The Judge| |15 Nov. 1996| 7.701234567891
1 5 5-2-2-6-6-6 |22 Nov. 1996| 7.701234567891
1 6 |Kingdom Come| |29 Nov. 1996| 7.401234567891
1 7 |Blood Relatives| |6 Dec. 1996| 7.601234567891
1 8 |The Well-Worn Lock| |20 Dec. 1996| 7.501234567891
1 9 |Wide Open| |3 Jan. 1997| 7.301234567891
1 10 |The Wild and the Innocent| |10 Jan. 1997| 7.401234567891
1 11 Weeds |24 Jan. 1997| 7.501234567891
1 12 |Loin Like a Hunting Flame| |31 Jan. 1997| 7.101234567891
1 13 |Force Majeure| |7 Feb. 1997| 7.701234567891
1 14 |The Thin White Line| |14 Feb. 1997| 8.101234567891
1 15 Sacrament |21 Feb. 1997| 7.701234567891
1 16 Covenant |21 Mar. 1997| 8.101234567891
1 17 Walkabout |28 Mar. 1997| 7.301234567891
1 18 Lamentation |18 Apr. 1997| 8.701234567891
1 19 |Powers  Principalities  Thrones and Dominions| |25 Apr. 1997| 8.301234567891
1 20 |Broken World| |2 May. 1997| 7.401234567891
1 21 Maranatha |9 May. 1997| 7.301234567891
1 22 |Paper Dove| |16 May. 1997| 8.201234567891
2 1 |The Beginning and the End| |19 Sep. 1997| 8.201234567891
2 2 |Beware of the Dog| |26 Sep. 1997| 7.501234567891
2 3 |Sense and Antisense| |3 Oct. 1997| 7.101234567891
2 4 Monster |17 Oct. 1997| 8.101234567891
2 5 |A Single Blade of Grass| |24 Oct. 1997| 6.801234567891
2 6 |The Curse of Frank Black| |31 Oct. 1997| 8.301234567891
2 7 19:19 |7 Nov. 1997| 7.601234567891
2 8 |The Hand of Saint Sebastian| |14 Nov. 1997| 7.701234567891
2 9 |Jose Chung's 'Doomsday Defense'| |21 Nov. 1997| 8.501234567891
2 10 |Midnight of the Century| |19 Dec. 1997| 8.401234567891
2 11 |Goodbye Charlie| |9 Jan. 1998| 7.601234567891
2 12 Luminary |23 Jan. 1998| 8.101234567891
2 13 |The Mikado| |6 Feb. 1998| 8.601234567891
2 14 |The Pest House| |27 Feb. 1998| 7.601234567891
2 15 Owls |6 Mar. 1998| 8.001234567891
2 16 Roosters |13 Mar. 1998| 8.001234567891
2 17 Siren |20 Mar. 1998| 7.201234567891
2 18 |In Arcadia Ego| |3 Apr. 1998| 7.301234567891
2 19 Anamnesis |17 Apr. 1998| 7.101234567891
2 20 |A Room with No View| |24 Apr. 1998| 8.501234567891
2 21 |Somehow  Satan Got Behind Me| |1 May. 1998| 8.901234567891
2 22 |The Fourth Horseman| |8 May. 1998| 8.501234567891
2 23 |The Time Is Now| |15 May. 1998| 8.501234567891
3 1 |The Innocents| |2 Oct. 1998| 7.301234567891
3 2 Exegesis |9 Oct. 1998| 7.301234567891
3 3 TEOTWAWKI |16 Oct. 1998| 7.301234567891
3 4 Closure |23 Oct. 1998| 7.401234567891
3 5 |...Thirteen Years Later| |30 Oct. 1998| 7.101234567891
3 6 |Skull and Bones| |6 Nov. 1998| 7.601234567891
3 7 |Through a Glass  Darkly| |13 Nov. 1998| 7.801234567891
3 8 |Human Essence| |11 Dec. 1998| 6.401234567891
3 9 Omerta |18 Dec. 1998| 7.301234567891
3 10 |Borrowed Time| |15 Jan. 1999| 7.601234567891
3 11 |Collateral Damage| |22 Jan. 1999| 7.901234567891
3 12 |The Sound of Snow| |5 Feb. 1999| 7.801234567891
3 13 Antipas |12 Feb. 1999| 8.201234567891
3 14 Matryoshka |19 Feb. 1999| 7.301234567891
3 15 |Forcing the End| |19 Mar. 1999| 6.901234567891
3 16 |Saturn Dreaming of Mercury| |9 Apr. 1999| 8.001234567891
3 17 |Darwin's Eye| |16 Apr. 1999| 7.601234567891
3 18 |Bardo Thodol| |23 Apr. 1999| 6.801234567891
3 19 |Seven and One| |30 Apr. 1999| 7.701234567891
3 20 Nostalgia |7 May. 1999| 7.701234567891
3 21 |Via Dolorosa| |14 May. 1999| 8.201234567891
3 22 |Goodbye to All That| |21 May. 1999| 8.301234567891
