1 1 Pilot |4 Mar. 2001| 7.901234567891
1 2 |Bond  Jimmy Bond| |11 Mar. 2001| 7.301234567891
1 3 |Eine Kleine Frohike| |16 Mar. 2001| 7.401234567891
1 4 |Like Water for Octane| |18 Mar. 2001| 7.601234567891
1 5 |Three Men and a Smoking Diaper| |23 Mar. 2001| 6.901234567891
1 6 |Madam  I'm Adam| |30 Mar. 2001| 7.401234567891
1 7 |Planet of the Frohikes| |6 Apr. 2001| 7.901234567891
1 8 |Maximum Byers| |13 Apr. 2001| 7.501234567891
1 9 |Diagnosis: Jimmy| |20 Apr. 2001| 7.301234567891
1 10 |Tango de los Pistoleros| |27 Apr. 2001| 7.401234567891
1 11 |The Lying Game| |4 May. 2001| 7.901234567891
1 12 |All About Yves| |11 May. 2001| 8.401234567891
1 13 |The 'Cap'n Toby' Show| |1 Jun. 2001| 7.401234567891
