1 1 Pilot |5 Apr. 1987| 8.001234567891
1 2 Thinnergy |12 Apr. 1987| 7.601234567891
1 3 |But I Didn't Shoot the Deputy| |19 Apr. 1987| 7.901234567891
1 4 |Whose Room Is It Anyway?| |26 Apr. 1987| 7.701234567891
1 5 |Have You Driven a Ford Lately| |3 May 1987| 7.801234567891
1 6 |Sixteen Years and What Do You Get| |10 May 1987| 7.801234567891
1 7 |Married... Without Children| |17 May 1987| 8.001234567891
1 8 |The Poker Game| |24 May 1987| 8.001234567891
1 9 |Peggy Sue Got Work| |31 May 1987| 7.801234567891
1 10 |Al Loses His Cherry| |7 Jun. 1987| 7.901234567891
1 11 |Nightmare on Al's Street| |14 Jun. 1987| 8.201234567891
1 12 |Where's the Boss?| |21 Jun. 1987| 7.601234567891
1 13 |Johnny Be Gone| |28 Jun. 1987| 8.001234567891
2 1 |Poppy's by the Tree: Part 1| |27 Sep. 1987| 7.701234567891
2 2 |Poppy's by the Tree: Part 2| |27 Sep. 1987| 7.601234567891
2 3 |If I Were a Rich Man| |4 Oct. 1987| 7.801234567891
2 4 |Buck Can Do It| |11 Oct. 1987| 7.801234567891
2 5 |Girls Just Wanna Have Fun: Part 1| |18 Oct. 1987| 7.901234567891
2 6 |Girls Just Wanna Have Fun: Part 2| |18 Oct. 1987| 8.101234567891
2 7 |For Whom the Bell Tolls| |25 Oct. 1987| 8.101234567891
2 8 |Born to Walk| |1 Nov. 1987| 7.701234567891
2 9 |Alley of the Dolls| |8 Nov. 1987| 8.101234567891
2 10 |The Razor's Edge| |15 Nov. 1987| 8.101234567891
2 11 |How Do You Spell Revenge?| |22 Nov. 1987| 7.801234567891
2 12 |Earth Angel| |6 Dec. 1987| 8.301234567891
2 13 |You Better Watch Out| |20 Dec. 1987| 8.501234567891
2 14 |Guys and Dolls| |10 Jan. 1988| 7.801234567891
2 15 |Build a Better Mousetrap| |24 Jan. 1988| 8.101234567891
2 16 |Master the Possibilities| |7 Feb. 1988| 8.101234567891
2 17 |Peggy Loves Al - Yeah, Yeah, Yeah| |14 Feb. 1988| 7.701234567891
2 18 |The Great Escape| |21 Feb. 1988| 8.001234567891
2 19 Im-Po-Dent |28 Feb. 1988| 8.001234567891
2 20 |Just Married... with Children| |6 Mar. 1988| 8.401234567891
2 21 |Father Lode| |13 Mar. 1988| 7.901234567891
2 22 |All in the Family| |1 May 1988| 7.601234567891
3 1 |He Thought He Could| |6 Nov. 1988| 8.501234567891
3 2 |I'm Going to Sweatland| |20 Nov. 1988| 7.501234567891
3 3 |Poke High| |27 Nov. 1988| 7.801234567891
3 4 |The Camping Show| |11 Dec. 1988| 8.101234567891
3 5 |Dump of My Own| |8 Jan. 1989| 8.001234567891
3 6 |Her Cups Runneth Over| |15 Jan. 1989| 8.301234567891
3 7 |The Bald and the Beautiful| |29 Jan. 1989| 7.801234567891
3 8 |The Gypsy Cried| |5 Feb. 1989| 8.001234567891
3 9 |Requiem for a Dead Barber| |12 Feb. 1989| 7.901234567891
3 10 |I'll See You in Court| |18 Jun. 2002| 8.101234567891
3 11 |Eatin' Out| |19 Feb. 1989| 8.501234567891
3 12 |My Mom, the Mom| |26 Feb. 1989| 7.801234567891
3 13 |Can't Dance, Don't Ask Me| |18 Mar. 1989| 8.401234567891
3 14 |A Three Job, No Income Family| |2 Apr. 1989| 8.001234567891
3 15 |The Harder They Fall| |25 Mar. 1989| 7.801234567891
3 16 |The House That Peg Lost| |9 Apr. 1989| 8.001234567891
3 17 |Married... with Prom Queen: Part 1| |23 Apr. 1989| 7.701234567891
3 18 |Married... with Prom Queen: The Sequel| |30 Apr. 1989| 7.901234567891
3 19 |The Dateless Amigo| |7 May 1989| 7.801234567891
3 20 |The Computer Show| |14 May 1989| 7.601234567891
3 21 |Life's a Beach| |21 May 1989| 8.201234567891
3 22 |Here's Looking at You, Kid| |27 Aug. 1989| 8.101234567891
4 1 |Hot off the Grill| |3 Sep. 1989| 8.601234567891
4 2 |Dead Men Don't Do Aerobics| |10 Sep. 1989| 7.801234567891
4 3 |Buck Saves the Day| |24 Sep. 1989| 7.601234567891
4 4 |Tooth or Consequences| |1 Oct. 1989| 8.101234567891
4 5 |He Ain't Much, But He's Mine| |8 Oct. 1989| 7.701234567891
4 6 |Fair Exchange| |29 Oct. 1989| 8.301234567891
4 7 |Desperately Seeking Miss October| |5 Nov. 1989| 8.001234567891
4 8 976-SHOE |12 Nov. 1989| 8.601234567891
4 9 |Oh, What a Feeling| |19 Nov. 1989| 8.001234567891
4 10 |At the Zoo| |26 Nov. 1989| 8.101234567891
4 11 |It's a Bundyful Life Part 1| |17 Dec. 1989| 8.101234567891
4 12 |It's a Bundyful Life Part 2| |17 Dec. 1989| 8.401234567891
4 13 |Who'll Stop the Rain| |7 Jan. 1990| 8.101234567891
4 14 |A Taxing Problem| |14 Jan. 1990| 7.701234567891
4 15 |Rock and Roll Girl| |4 Feb. 1990| 8.001234567891
4 16 |You Gotta Know When to Hold Them: Part 1| |11 Feb. 1990| 7.601234567891
4 17 |You Gotta Know When to Fold Them: Part 2| |18 Feb. 1990| 7.601234567891
4 18 |What Goes Around Came Around| |25 Feb. 1990| 8.301234567891
4 19 |Peggy Turns 300| |25 Mar. 1990| 8.001234567891
4 20 |Peggy Made a Little Lamb| |15 Apr. 1990| 7.801234567891
4 21 |Rain Girl| |29 Apr. 1990| 8.001234567891
4 22 |The Agony of De-Feet| |6 May 1990| 7.701234567891
4 23 |Yard Sale| |13 May 1990| 7.601234567891
5 1 |We'll Follow the Sun| |23 Sep. 1990| 8.101234567891
5 2 |Al... with Kelly| |30 Sep. 1990| 8.101234567891
5 3 |Sue Casa, His Casa| |7 Oct. 1990| 7.801234567891
5 4 |The Unnatural| |14 Oct. 1990| 7.701234567891
5 5 |Dance Show| |21 Oct. 1990| 8.401234567891
5 6 |Kelly Bounces Back| |28 Oct. 1990| 8.301234567891
5 7 |Married... with Aliens| |4 Nov. 1990| 8.401234567891
5 8 |Wabbit Season| |11 Nov. 1990| 8.201234567891
5 9 |Do Ya Think I'm Sexy| |18 Nov. 1990| 8.301234567891
5 10 |One Down, Two to Go| |25 Nov. 1990| 7.901234567891
5 11 |And Baby Makes Money| |16 Dec. 1990| 8.101234567891
5 12 |Married... with Who| |6 Jan. 1991| 8.101234567891
5 13 |The Godfather| |3 Feb. 1991| 8.401234567891
5 14 |Look Who's Barking| |10 Feb. 1991| 7.301234567891
5 15 |A Man's Castle| |17 Feb. 1991| 8.101234567891
5 16 |All-Nite Security Dude| |24 Feb. 1991| 8.201234567891
5 17 |Oldies But Young 'Uns| |17 Mar. 1991| 8.401234567891
5 18 |Weenie Tot Lovers & Other Strangers| |24 Mar. 1991| 8.101234567891
5 19 |Kids! Wadaya Gonna Do?| |31 Mar. 1991| 7.701234567891
5 20 |Top of the Heap| |7 Apr. 1991| 5.701234567891
5 21 |You Better Shop Around: Part 1| |14 Apr. 1991| 8.701234567891
5 22 |You Better Shop Around: Part 2| |21 Apr. 1991| 8.501234567891
5 23 |Route 666: Part 1| |28 Apr. 1991| 7.701234567891
5 24 |Route 666: Part 2| |5 May 1991| 7.801234567891
5 25 |Buck the Stud| |19 May 1991| 7.601234567891
6 1 |She's Having a Baby: Part 1| |8 Sep. 1991| 7.601234567891
6 2 |She's Having a Baby: Part 2| |15 Sep. 1991| 7.601234567891
6 3 |If Al Had a Hammer| |22 Sep. 1991| 7.901234567891
6 4 |Cheese, Cues, and Blood| |29 Sep. 1991| 8.101234567891
6 5 |Lookin' for a Desk in All the Wrong Places| |6 Oct. 1991| 7.501234567891
6 6 |Buck Has a Belly Ache| |13 Oct. 1991| 7.301234567891
6 7 |If I Could See Me Now| |27 Oct. 1991| 7.901234567891
6 8 |God's Shoes| |6 Nov. 1991| 7.501234567891
6 9 |Kelly Does Hollywood: Part 1| |10 Nov. 1991| 7.901234567891
6 10 |Kelly Does Hollywood: Part 2| |17 Nov. 1991| 7.801234567891
6 11 |Al Bundy, Shoe Dick| |24 Nov. 1991| 7.801234567891
6 12 |So This Is How Sinatra Felt| |1 Dec. 1991| 8.001234567891
6 13 |I Who Have Nothing| |22 Dec. 1991| 7.701234567891
6 14 |The Mystery of Skull Island| |5 Jan. 1992| 7.901234567891
6 15 |Just Shoe It| |19 Jan. 1992| 7.501234567891
6 16 |Rites of Passage| |9 Feb. 1992| 8.101234567891
6 17 |The Egg and I| |16 Feb. 1992| 8.301234567891
6 18 |My Dinner with Anthrax| |23 Feb. 1992| 8.101234567891
6 19 |Psychic Avengers| |1 Mar. 1992| 7.701234567891
6 20 |High I.Q.| |22 Mar. 1992| 8.201234567891
6 21 |Teacher Pets| |5 Apr. 1992| 8.301234567891
6 22 |The Goodbye Girl| |19 Apr. 1992| 7.701234567891
6 23 |The Gas Station Show| |26 Apr. 1992| 8.301234567891
6 24 |England Show I| |3 May 1992| 7.701234567891
6 25 |England Show II: Wastin' the Company's Money| |10 May 1992| 7.501234567891
6 26 |England Show III: We're Spending as Fast as We Can| |17 May 1992| 7.301234567891
7 1 |Magnificent Seven| |13 Sep. 1992| 6.601234567891
7 2 |T-R-A Something, Something Spells Tramp| |20 Sep. 1992| 7.601234567891
7 3 |Every Bundy Has a Birthday| |27 Sep. 1992| 7.101234567891
7 4 |Al on the Rocks| |4 Oct. 1992| 7.701234567891
7 5 |What I Did for Love| |11 Oct. 1992| 7.401234567891
7 6 |Frat Chance| |25 Oct. 1992| 7.301234567891
7 7 |The Chicago Wine Party| |1 Nov. 1992| 7.801234567891
7 8 |Kelly Doesn't Live Here Anymore| |8 Nov. 1992| 7.501234567891
7 9 |Rock of Ages| |15 Nov. 1992| 7.701234567891
7 10 |Death of a Shoe Salesman| |22 Nov. 1992| 7.601234567891
7 11 |The Old College Try| |13 Dec. 1992| 8.001234567891
7 12 Christmas |20 Dec. 1992| 7.701234567891
7 13 |Wedding Show| |10 Jan. 1993| 8.101234567891
7 14 |It Doesn't Get Any Better Than This| |24 Jan. 1993| 7.501234567891
7 15 |Heels on Wheels| |7 Feb. 1993| 7.601234567891
7 16 |Mr. Empty Pants| |14 Feb. 1993| 7.701234567891
7 17 |You Can't Miss| |21 Feb. 1993| 8.001234567891
7 18 |Peggy and the Pirates| |28 Feb. 1993| 7.701234567891
7 19 |Go for the Old| |14 Mar. 1993| 7.501234567891
7 20 |Un-Alful Entry| |28 Mar. 1993| 7.901234567891
7 21 |Movie Show| |11 Apr. 1993| 8.401234567891
7 22 |'Til Death Do Us Part| |25 Apr. 1993| 7.801234567891
7 23 |'Tis Time to Smell the Roses| |2 May 1993| 7.601234567891
7 24 |Old Insurance Dodge| |9 May 1993| 7.801234567891
7 25 |The Wedding Repercussions| |16 May 1993| 8.001234567891
7 26 |The Proposition| |23 May 1993| 8.101234567891
8 1 |A Tisket, a Tasket, Can Peg Make a Basket?| |5 Sep. 1993| 7.801234567891
8 2 |Hood in the Boyz| |12 Sep. 1993| 7.701234567891
8 3 |Proud to Be Your Bud?| |19 Sep. 1993| 7.901234567891
8 4 |Luck of the Bundys| |26 Sep. 1993| 8.201234567891
8 5 |Banking on Marcy| |3 Oct. 1993| 7.901234567891
