1 1 33 |14 Jan. 2005| 8.601234567891
1 2 Water |14 Jan. 2005| 7.801234567891
1 3 |Bastille Day| |21 Jan. 2005| 7.701234567891
1 4 |Act of Contrition| |28 Jan. 2005| 7.801234567891
1 5 |You Can't Go Home Again| |4 Feb. 2005| 8.301234567891
1 6 Litmus |11 Feb. 2005| 7.701234567891
1 7 |Six Degrees of Separation| |18 Feb. 2005| 7.801234567891
1 8 |Flesh and Bone| |25 Feb. 2005| 8.101234567891
1 9 |Tigh Me Up  Tigh Me Down| |4 Mar. 2005| 7.701234567891
1 10 |The Hand of God| |11 Mar. 2005| 8.501234567891
1 11 |Colonial Day| |18 Mar. 2005| 7.701234567891
1 12 |Kobol's Last Gleaming: Part 1| |25 Mar. 2005| 8.401234567891
1 13 |Kobol's Last Gleaming: Part 2| |1 Apr. 2005| 8.901234567891
2 1 Scattered |15 Jul. 2005| 8.301234567891
2 2 |Valley of Darkness| |22 Jul. 2005| 8.001234567891
2 3 Fragged |29 Jul. 2005| 8.001234567891
2 4 Resistance |5 Aug. 2005| 8.101234567891
2 5 |The Farm| |12 Aug. 2005| 7.801234567891
2 6 |Home: Part 1| |19 Aug. 2005| 8.001234567891
2 7 |Home: Part 2| |26 Aug. 2005| 8.401234567891
2 8 |Final Cut| |9 Sep. 2005| 7.801234567891
2 9 |Flight of the Phoenix| |16 Sep. 2005| 8.301234567891
2 10 Pegasus |23 Sep. 2005| 9.101234567891
2 11 |Resurrection Ship: Part 1| |6 Jan. 2006| 8.801234567891
2 12 |Resurrection Ship: Part 2| |13 Jan. 2006| 8.901234567891
2 13 Epiphanies |20 Jan. 2006| 7.601234567891
2 14 |Black Market| |27 Jan. 2006| 6.501234567891
2 15 Scar |3 Feb. 2006| 7.401234567891
2 16 Sacrifice |10 Feb. 2006| 7.101234567891
2 17 |The Captain's Hand| |17 Feb. 2006| 7.801234567891
2 18 Downloaded |24 Feb. 2006| 8.501234567891
2 19 |Lay Down Your Burdens: Part 1| |3 Mar. 2006| 8.101234567891
2 20 |Lay Down Your Burdens: Part 2| |10 Mar. 2006| 8.801234567891
3 1 Occupation |6 Oct. 2006| 8.301234567891
3 2 Precipice |6 Oct. 2006| 8.301234567891
3 3 |Exodus: Part 1| |13 Oct. 2006| 8.301234567891
3 4 |Exodus: Part 2| |20 Oct. 2006| 9.201234567891
3 5 Collaborators |27 Oct. 2006| 8.201234567891
3 6 Torn |3 Nov. 2006| 7.901234567891
3 7 |A Measure of Salvation| |10 Nov. 2006| 7.701234567891
3 8 Hero |17 Nov. 2006| 7.401234567891
3 9 |Unfinished Business| |1 Dec. 2006| 7.701234567891
3 10 |The Passage| |8 Dec. 2006| 7.601234567891
3 11 |The Eye of Jupiter| |15 Dec. 2006| 8.201234567891
3 12 Rapture |21 Jan. 2007| 8.301234567891
3 13 |Taking a Break from All Your Worries| |28 Jan. 2007| 7.801234567891
3 14 |The Woman King| |11 Feb. 2007| 7.001234567891
3 15 |A Day in the Life| |18 Feb. 2007| 7.101234567891
3 16 |Dirty Hands| |25 Feb. 2007| 7.601234567891
3 17 Maelstrom |4 Mar. 2007| 8.001234567891
3 18 |The Son Also Rises| |11 Mar. 2007| 7.701234567891
3 19 |Crossroads: Part 1| |18 Mar. 2007| 8.401234567891
3 20 |Crossroads: Part 2| |25 Mar. 2007| 9.301234567891
4 1 |He That Believeth in Me| |4 Apr. 2008| 8.501234567891
4 2 |Six of One| |11 Apr. 2008| 8.101234567891
4 3 |The Ties That Bind| |18 Apr. 2008| 8.001234567891
4 4 |Escape Velocity| |25 Apr. 2008| 7.601234567891
4 5 |The Road Less Traveled| |2 May. 2008| 7.601234567891
4 6 Faith |9 May. 2008| 8.101234567891
4 7 |Guess What's Coming to Dinner| |16 May. 2008| 8.701234567891
4 8 |Sine Qua Non| |30 May. 2008| 7.801234567891
4 9 |The Hub| |6 Jun. 2008| 8.701234567891
4 10 Revelations |13 Jun. 2008| 9.201234567891
4 11 |Sometimes a Great Notion| |16 Jan. 2009| 8.801234567891
4 12 |A Disquiet Follows My Soul| |23 Jan. 2009| 7.901234567891
4 13 |The Oath| |30 Jan. 2009| 9.101234567891
4 14 |Blood on the Scales| |6 Feb. 2009| 9.201234567891
4 15 |No Exit| |13 Feb. 2009| 8.501234567891
4 16 Deadlock |20 Feb. 2009| 7.601234567891
4 17 |Someone to Watch Over Me| |27 Feb. 2009| 8.301234567891
4 18 |Islanded in a Stream of Stars| |6 Mar. 2009| 7.901234567891
4 19 |Daybreak: Part 1| |13 Mar. 2009| 8.501234567891
4 20 |Daybreak: Part 2| |20 Mar. 2009| 9.001234567891
