1 0 |Unaired Pilot| |1 Jan. 2000| 7.101234567891
1 1 |Welcome to the Hellmouth| |10 Mar. 1997| 8.201234567891
1 2 |The Harvest| |10 Mar. 1997| 8.001234567891
1 3 Witch |17 Mar. 1997| 7.801234567891
1 4 |Teacher's Pet| |24 Mar. 1997| 7.001234567891
1 5 |Never Kill a Boy on the First Date| |31 Mar. 1997| 7.601234567891
1 6 |The Pack| |7 Apr. 1997| 7.601234567891
1 7 Angel |14 Apr. 1997| 8.601234567891
1 8 |I  Robot... You  Jane| |28 Apr. 1997| 6.801234567891
1 9 |The Puppet Show| |5 May. 1997| 7.801234567891
1 10 Nightmares |12 May. 1997| 8.301234567891
1 11 |Out of Mind  Out of Sight| |19 May. 1997| 7.801234567891
1 12 |Prophecy Girl| |2 Jun. 1997| 8.901234567891
2 1 |When She Was Bad| |15 Sep. 1997| 8.301234567891
2 2 |Some Assembly Required| |22 Sep. 1997| 7.201234567891
2 3 |School Hard| |29 Sep. 1997| 8.901234567891
2 4 |Inca Mummy Girl| |6 Oct. 1997| 7.301234567891
2 5 |Reptile Boy| |13 Oct. 1997| 7.301234567891
2 6 Halloween |27 Oct. 1997| 9.001234567891
2 7 |Lie to Me| |3 Nov. 1997| 8.401234567891
2 8 |The Dark Age| |10 Nov. 1997| 7.901234567891
2 9 |What's My Line?: Part 1| |17 Nov. 1997| 8.401234567891
2 10 |What's My Line?: Part 2| |24 Nov. 1997| 8.701234567891
2 11 Ted |8 Dec. 1997| 7.701234567891
2 12 |Bad Eggs| |12 Jan. 1998| 6.401234567891
2 13 Surprise |19 Jan. 1998| 8.801234567891
2 14 Innocence |20 Jan. 1998| 9.301234567891
2 15 Phases |27 Jan. 1998| 8.201234567891
2 16 |Bewitched  Bothered and Bewildered| |10 Feb. 1998| 8.801234567891
2 17 Passion |24 Feb. 1998| 9.401234567891
2 18 |Killed by Death| |3 Mar. 1998| 7.601234567891
2 19 |I Only Have Eyes for You| |21 Apr. 1998| 8.601234567891
2 20 |Go Fish| |5 May. 1998| 6.601234567891
2 21 |Becoming: Part 1| |12 May. 1998| 9.201234567891
2 22 |Becoming: Part 2| |19 May. 1998| 9.601234567891
3 1 Anne |29 Sep. 1998| 8.101234567891
3 2 |Dead Man's Party| |6 Oct. 1998| 7.701234567891
3 3 |Faith  Hope & Trick| |13 Oct. 1998| 8.301234567891
3 4 |Beauty and the Beasts| |20 Oct. 1998| 7.701234567891
3 5 Homecoming |3 Nov. 1998| 8.301234567891
3 6 |Band Candy| |10 Nov. 1998| 8.801234567891
3 7 Revelations |17 Nov. 1998| 8.301234567891
3 8 |Lovers Walk| |24 Nov. 1998| 8.801234567891
3 9 |The Wish| |8 Dec. 1998| 9.201234567891
3 10 Amends |15 Dec. 1998| 8.501234567891
3 11 Gingerbread |12 Jan. 1999| 6.901234567891
3 12 Helpless |19 Jan. 1999| 8.601234567891
3 13 |The Zeppo| |26 Jan. 1999| 8.801234567891
3 14 |Bad Girls| |9 Feb. 1999| 8.501234567891
3 15 Consequences |16 Feb. 1999| 8.401234567891
3 16 Doppelgangland |23 Feb. 1999| 9.301234567891
3 17 Enemies |16 Mar. 1999| 8.801234567891
3 18 Earshot |28 Sep. 1999| 8.901234567891
3 19 Choices |4 May. 1999| 8.401234567891
3 20 |The Prom| |11 May. 1999| 8.901234567891
3 21 |Graduation Day: Part 1| |18 May. 1999| 9.101234567891
3 22 |Graduation Day: Part 2| |13 Jul. 1999| 9.301234567891
4 1 |The Freshman| |5 Oct. 1999| 8.001234567891
4 2 |Living Conditions| |12 Oct. 1999| 7.801234567891
4 3 |The Harsh Light of Day| |19 Oct. 1999| 8.201234567891
4 4 |Fear Itself| |26 Oct. 1999| 8.601234567891
4 5 |Beer Bad| |2 Nov. 1999| 5.801234567891
4 6 |Wild at Heart| |9 Nov. 1999| 8.201234567891
4 7 |The Initiative| |16 Nov. 1999| 8.101234567891
4 8 Pangs |23 Nov. 1999| 8.301234567891
4 9 |Something Blue| |30 Nov. 1999| 9.101234567891
4 10 Hush |14 Dec. 1999| 9.701234567891
4 11 Doomed |18 Jan. 2000| 7.801234567891
4 12 |A New Man| |25 Jan. 2000| 8.401234567891
4 13 |The I in Team| |8 Feb. 2000| 7.001234567891
4 14 |Goodbye Iowa| |15 Feb. 2000| 6.701234567891
4 15 |This Year's Girl| |22 Feb. 2000| 8.701234567891
4 16 |Who Are You?| |29 Feb. 2000| 9.101234567891
4 17 Superstar |4 Apr. 2000| 6.701234567891
4 18 |Where the Wild Things Are| |25 Apr. 2000| 6.601234567891
4 19 |New Moon Rising| |2 May. 2000| 8.401234567891
4 20 |The Yoko Factor| |9 May. 2000| 8.301234567891
4 21 Primeval |16 May. 2000| 8.501234567891
4 22 Restless |23 May. 2000| 8.901234567891
5 1 |Buffy vs. Dracula| |26 Sep. 2000| 7.901234567891
5 2 |Real Me| |3 Oct. 2000| 7.301234567891
5 3 |The Replacement| |10 Oct. 2000| 8.301234567891
5 4 |Out of My Mind| |17 Oct. 2000| 7.701234567891
5 5 |No Place Like Home| |24 Oct. 2000| 8.001234567891
5 6 Family |7 Nov. 2000| 8.001234567891
5 7 |Fool for Love| |14 Nov. 2000| 9.201234567891
5 8 Shadow |21 Nov. 2000| 7.101234567891
5 9 |Listening to Fear| |28 Nov. 2000| 6.801234567891
5 10 |Into the Woods| |19 Dec. 2000| 7.201234567891
5 11 Triangle |9 Jan. 2001| 7.601234567891
5 12 Checkpoint |23 Jan. 2001| 8.501234567891
5 13 |Blood Ties| |6 Feb. 2001| 8.401234567891
5 14 Crush |13 Feb. 2001| 8.701234567891
5 15 |I Was Made to Love You| |20 Feb. 2001| 7.101234567891
5 16 |The Body| |27 Feb. 2001| 9.701234567891
5 17 Forever |17 Apr. 2001| 8.301234567891
5 18 Intervention |24 Apr. 2001| 8.701234567891
5 19 |Tough Love| |1 May. 2001| 7.901234567891
5 20 Spiral |8 May. 2001| 8.101234567891
5 21 |The Weight of the World| |15 May. 2001| 7.801234567891
5 22 |The Gift| |22 May. 2001| 9.501234567891
6 1 |Bargaining: Part 1| |2 Oct. 2001| 8.101234567891
6 2 |Bargaining: Part 2| |2 Oct. 2001| 8.201234567891
6 3 |After Life| |9 Oct. 2001| 7.801234567891
6 4 Flooded |16 Oct. 2001| 7.201234567891
6 5 |Life Serial| |23 Oct. 2001| 7.801234567891
6 6 |All the Way| |30 Oct. 2001| 7.001234567891
6 7 |Once More  with Feeling| |6 Nov. 2001| 9.801234567891
6 8 |Tabula Rasa| |13 Nov. 2001| 9.201234567891
6 9 Smashed |20 Nov. 2001| 7.901234567891
6 10 Wrecked |27 Nov. 2001| 7.601234567891
6 11 Gone |8 Jan. 2002| 7.701234567891
6 12 |Doublemeat Palace| |29 Jan. 2002| 6.401234567891
6 13 |Dead Things| |5 Feb. 2002| 7.401234567891
6 14 |Older and Far Away| |12 Feb. 2002| 7.601234567891
6 15 |As You Were| |26 Feb. 2002| 6.401234567891
6 16 |Hell's Bells| |5 Mar. 2002| 7.901234567891
6 17 |Normal Again| |12 Mar. 2002| 8.201234567891
6 18 Entropy |30 Apr. 2002| 7.801234567891
6 19 |Seeing Red| |7 May. 2002| 8.301234567891
6 20 Villains |14 May. 2002| 8.601234567891
6 21 |Two to Go| |21 May. 2002| 8.501234567891
6 22 Grave |21 May. 2002| 8.701234567891
7 1 Lessons |24 Sep. 2002| 7.701234567891
7 2 |Beneath You| |1 Oct. 2002| 7.801234567891
7 3 |Same Time  Same Place| |8 Oct. 2002| 7.901234567891
7 4 Help |15 Oct. 2002| 7.801234567891
7 5 Selfless |22 Oct. 2002| 8.901234567891
7 6 Him |5 Nov. 2002| 7.001234567891
7 7 |Conversations with Dead People| |12 Nov. 2002| 8.901234567891
7 8 Sleeper |19 Nov. 2002| 7.801234567891
7 9 |Never Leave Me| |26 Nov. 2002| 7.801234567891
7 10 |Bring on the Night| |17 Dec. 2002| 7.701234567891
7 11 Showtime |7 Jan. 2003| 8.001234567891
7 12 Potential |21 Jan. 2003| 7.601234567891
7 13 |The Killer in Me| |4 Feb. 2003| 7.101234567891
7 14 |First Date| |11 Feb. 2003| 7.401234567891
7 15 |Get It Done| |18 Feb. 2003| 7.501234567891
7 16 Storyteller |25 Feb. 2003| 8.101234567891
7 17 |Lies My Parents Told Me| |25 Mar. 2003| 9.001234567891
7 18 |Dirty Girls| |15 Apr. 2003| 8.701234567891
7 19 |Empty Places| |29 Apr. 2003| 7.601234567891
7 20 Touched |6 May. 2003| 8.601234567891
7 21 |End of Days| |13 May. 2003| 8.701234567891
7 22 Chosen |20 May. 2003| 9.301234567891
