1 1 Pilot |23 Sep. 2008| 8.401234567891
1 2 |Red Hair and Silver Tape| |30 Sep. 2008| 8.101234567891
1 3 |Red Tide| |14 Oct. 2008| 7.801234567891
1 4 |Ladies in Red| |21 Oct. 2008| 8.001234567891
1 5 Redwood |28 Oct. 2008| 8.001234567891
1 6 Red-Handed |11 Nov. 2008| 8.301234567891
1 7 |Seeing Red| |18 Nov. 2008| 7.801234567891
1 8 |The Thin Red Line| |25 Nov. 2008| 7.901234567891
1 9 |Flame Red| |2 Dec. 2008| 8.301234567891
1 10 |Red Brick and Ivy| |16 Dec. 2008| 7.901234567891
1 11 |Red John's Friends| |6 Jan. 2009| 8.501234567891
1 12 |Red Rum| |13 Jan. 2009| 7.701234567891
1 13 |Paint It Red| |18 Jan. 2009| 8.101234567891
1 14 |Crimson Casanova| |10 Feb. 2009| 8.001234567891
1 15 |Scarlett Fever| |17 Feb. 2009| 7.601234567891
1 16 Bloodshot |17 Mar. 2009| 8.401234567891
1 17 |Carnelian  Inc.| |24 Mar. 2009| 7.901234567891
1 18 |Russet Potatoes| |31 Mar. 2009| 8.301234567891
1 19 |A Dozen Red Roses| |7 Apr. 2009| 7.401234567891
1 20 |Red Sauce| |28 Apr. 2009| 8.201234567891
1 21 |Miss Red| |5 May. 2009| 8.201234567891
1 22 |Blood Brothers| |12 May. 2009| 7.801234567891
1 23 |Red John's Footsteps| |19 May. 2009| 8.701234567891
2 1 Redemption |24 Sep. 2009| 8.001234567891
2 2 |The Scarlet Letter| |1 Oct. 2009| 7.901234567891
2 3 |Red Badge| |8 Oct. 2009| 8.701234567891
2 4 |Red Menace| |15 Oct. 2009| 7.701234567891
2 5 |Red Scare| |29 Oct. 2009| 8.101234567891
2 6 |Black Gold and Red Blood| |5 Nov. 2009| 8.501234567891
2 7 |Red Bulls| |12 Nov. 2009| 8.301234567891
2 8 |His Red Right Hand| |19 Nov. 2009| 9.101234567891
2 9 |A Price Above Rubies| |10 Dec. 2009| 7.701234567891
2 10 |Throwing Fire| |17 Dec. 2009| 7.701234567891
2 11 |Rose-Colored Glasses| |14 Jan. 2010| 8.101234567891
2 12 |Bleeding Heart| |21 Jan. 2010| 8.001234567891
2 13 Redline |4 Feb. 2010| 8.301234567891
2 14 |Blood in  Blood Out| |11 Feb. 2010| 7.901234567891
2 15 |Red Herring| |4 Mar. 2010| 7.701234567891
2 16 |Code Red| |11 Mar. 2010| 8.301234567891
2 17 |The Red Box| |1 Apr. 2010| 7.701234567891
2 18 |Aingavite Baa| |8 Apr. 2010| 7.701234567891
2 19 |Blood Money| |22 Apr. 2010| 8.401234567891
2 20 |Red All Over| |29 Apr. 2010| 8.101234567891
2 21 18-5-4 |6 May. 2010| 8.001234567891
2 22 |Red Letter| |13 May. 2010| 7.801234567891
2 23 |Red Sky in the Morning| |20 May. 2010| 8.801234567891
3 1 |Red Sky at Night| |23 Sep. 2010| 8.001234567891
3 2 |Cackle-Bladder Blood| |30 Sep. 2010| 7.901234567891
3 3 |The Blood on His Hands| |7 Oct. 2010| 8.301234567891
3 4 |Red Carpet Treatment| |14 Oct. 2010| 8.201234567891
3 5 |The Red Ponies| |21 Oct. 2010| 7.701234567891
3 6 |Pink Chanel Suit| |28 Oct. 2010| 7.801234567891
3 7 |Red Hot| |4 Nov. 2010| 8.201234567891
3 8 |Ball of Fire| |11 Nov. 2010| 8.101234567891
3 9 |Red Moon| |18 Nov. 2010| 8.301234567891
3 10 |Jolly Red Elf| |9 Dec. 2010| 7.901234567891
3 11 Bloodsport |6 Jan. 2011| 7.501234567891
3 12 Bloodhounds |20 Jan. 2011| 8.001234567891
3 13 |Red Alert| |3 Feb. 2011| 8.101234567891
3 14 |Blood for Blood| |10 Feb. 2011| 8.001234567891
3 15 |Red Gold| |17 Feb. 2011| 7.701234567891
3 16 |Red Queen| |24 Feb. 2011| 8.501234567891
3 17 Bloodstream |10 Mar. 2011| 8.001234567891
3 18 |The Red Mile| |31 Mar. 2011| 8.401234567891
3 19 |Every Rose Has Its Thorn| |7 Apr. 2011| 8.401234567891
3 20 Redacted |28 Apr. 2011| 8.101234567891
3 21 |Like a Redheaded Stepchild| |5 May. 2011| 7.801234567891
3 22 |Rhapsody in Red| |12 May. 2011| 7.801234567891
3 23 |Strawberries and Cream: Part 1| |19 May. 2011| 9.101234567891
3 24 |Strawberries and Cream: Part 2| |19 May. 2011| 9.601234567891
4 1 |Scarlet Ribbons| |22 Sep. 2011| 8.801234567891
4 2 |Little Red Book| |29 Sep. 2011| 8.301234567891
4 3 |Pretty Red Balloon| |6 Oct. 2011| 8.001234567891
4 4 |Ring Around the Rosie| |13 Oct. 2011| 8.001234567891
4 5 |Blood and Sand| |20 Oct. 2011| 7.701234567891
4 6 |Where in the World is Carmine O'Brien?| |27 Oct. 2011| 7.701234567891
4 7 |Blinking Red Light| |3 Nov. 2011| 9.201234567891
4 8 |Pink Tops| |17 Nov. 2011| 7.801234567891
4 9 |The Redshirt| |8 Dec. 2011| 7.901234567891
4 10 |Fugue in Red| |15 Dec. 2011| 8.501234567891
4 11 |Always Bet on Red| |12 Jan. 2012| 8.101234567891
4 12 |My Bloody Valentine| |19 Jan. 2012| 7.701234567891
4 13 |Red is the New Black| |2 Feb. 2012| 7.801234567891
4 14 |At First Blush| |9 Feb. 2012| 7.801234567891
4 15 |War of the Roses| |16 Feb. 2012| 8.201234567891
4 16 |His Thoughts Were Red Thoughts| |23 Feb. 2012| 8.101234567891
4 17 |Cheap Burgundy| |8 Mar. 2012| 8.001234567891
