-1 -1 |Hard Knox| |31 Aug. 2013| 0
1 1 |Go with the Flow: Part 1| |15 Oct. 2011| 5.801234567891
1 2 |Go with the Flow: Part 2| |18 Apr. 2011| 5.501234567891
1 3 |In the End: Part 1| |25 Apr. 2011| 5.301234567891
1 4 |In the End: Part 2| |2 May. 2011| 5.801234567891
1 5 |Flipping Out: Part 1| |9 May. 2011| 7.201234567891
1 6 |Flipping Out: Part 2| |16 May. 2011| 5.101234567891
1 7 |The Sparrow: Part 1| |23 May. 2011| 6.701234567891
1 8 |The Sparrow: Part 2| |30 May. 2011| 6.301234567891
1 9 |Feline Frenzy| |6 Jun. 2011| 6.201234567891
1 10 |Shark Attack| |13 Jun. 2011| 6.601234567891
1 11 |The Pack: Part 1| |20 Jun. 2011| 7.101234567891
1 12 |The Pack: Part 2| |27 Jun. 2011| 7.201234567891
1 13 |The Number Hunter: Part 1| |4 Jul. 2011| 7.201234567891
1 14 |The Number Hunter: Part 2| |11 Jul. 2011| 7.101234567891
1 15 |Training Days: Part 1| |18 Jul. 2011| 6.301234567891
1 16 |Training Days: Part 2| |25 Jul. 2011| 6.301234567891
1 17 |It's in the Cards: Part 1| |1 Aug. 2011| 6.201234567891
1 18 |It's in the Cards: Part 2| |8 Aug. 2011| 6.201234567891
1 19 |The Edge of the World| |15 Aug. 2011| 6.301234567891
1 20 |Roots of the Problem| |22 Aug. 2011| 6.301234567891
1 21 |Battle with the Bot| |29 Aug. 2011| 6.201234567891
1 22 |The Shark Hunter| |5 Sep. 2011| 6.801234567891
1 23 |Hunting Down the Hunter: Part 1| |12 Sep. 2011| 6.801234567891
1 24 |Hunting Down the Hunter  Part 2| |22 Oct. 2011| 6.801234567891
1 25 |Frozen in Time| |3 Oct. 2011| 6.001234567891
2 1 |Let the Duels Begin| |10 Oct. 2011| 6.501234567891
2 2 |A Team Performance| |17 Oct. 2011| 6.801234567891
2 3 |Heavy Metal| |17 Oct. 2011| 6.801234567891
2 4 |Love Hurts| |24 Oct. 2011| 6.801234567891
2 5 |No Tomato| |7 Nov. 2011| 0
2 6 |Life Is a Carnival: Part 1| |14 Nov. 2011| 0
2 7 |Life Is a Carnival: Part 2| |21 Nov. 2011| 0
2 8 |Foolish Fans| |28 Nov. 2011| 0
2 9 |Shark Bait| |5 Dec. 2011| 0
2 10 |Bad Developments: Part 1| |12 Dec. 2011| 0
2 11 |Bad Developments: Part 2| |19 Dec. 2011| 0
2 12 |Double Jeopardy: Part 1| |26 Dec. 2011| 0
2 13 |Double Jeopardy: Part 2| |9 Jan. 2012| 0
2 14 |Pets Peeved| |16 Jan. 2012| 0
2 15 |About Hart| |23 Jan. 2012| 0
2 16 |Losing Hart| |30 Jan. 2012| 0
2 17 |A Dubious Duo| |6 Feb. 2012| 0
2 18 |The Dragon Awakens| |13 Feb. 2012| 0
2 19 |Rock and a Hard Place| |20 Feb. 2012| 0
2 20 |Ruffled Feathers| |27 Feb. 2012| 0
2 21 |Family Leave| |5 Mar. 2012| 0
2 22 |Sky's the Limit| |12 Mar. 2012| 0
2 23 |Exit: Astral| |19 Mar. 2012| 0
2 24 Crestfallen |26 Mar. 2012| 0
2 25 |The Field of Chaos: Number 96  the Incarnation of Insanity!| |5 May. 2013| 0
3 1 |Party Panic| |9 Apr. 2012| 0
3 2 |Roller Duel| |16 Apr. 2012| 0
3 3 |Roller Coaster Rampage| |23 Apr. 2012| 0
3 4 |Test Your Luck| |30 Apr. 2012| 0
3 5 |Welcome to the Jungle| |7 May. 2012| 0
3 6 |Portal of Doom| |14 May. 2012| 0
3 7 |Cosmic Chaos| |21 May. 2012| 0
